usableArea,totalArea,bedrooms,bathrooms,floors,yearBuilt,propertyType_SINGLE_HOUSE,propertyType_TOWN_HOUSE,propertyType_APARTMENT,propertyType_VILLA,direction_EAST,direction_WEST,direction_SOUTH,direction_NORTH,direction_NORTHEAST,direction_NORTHWEST,direction_SOUTHEAST,direction_SOUTHWEST,landArea,frontWidth,roadWidth,depth,frontyardArea,backyardArea,lotArea,gardenArea,parkingSpaces,floor,hasPool,hasGym,hasHomeTheater,hasGameRoom,hasSecurityCamera,has24hSecurity,hasSmartLock,hasSecurityDoor,hasGarden,hasPlayground,hasRooftop,hasDishwasher,hasDryer,hasMicrowave,hasOven,hasRefrigerator,hasWasher,walkScore,bikeScore,transitScore,quietness,securityLevel,totalRooms,propertyAge,price
50.0,103.07532116701627,2,1,5,1996,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,3.6988278897100857,0.0,16.58076971352535,0.0,0.0,0.0,3,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,5.467469942387962,5.216676558505632,6.339158867108512,9.30825225947286,6.843159822721875,6,29,310285.76
121.29998263247907,156.8404820023492,2,2,1,2004,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,11,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,8.38562044510504,7.988025243135882,10.0,5.8469887031124275,7.2601492533168885,8,21,1033344.47
93.05154898235367,151.31018801347125,3,1,3,1994,0,0,0,1,0,0,0,0,0,1,0,0,185.70740611205542,0.0,10.973149562802307,0.0,0.0,0.0,1155.6151788639359,384.9016564504929,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,4.913130478242353,7.094723547928973,5.577700961811655,9.866405393391844,5.029526282378424,7,31,1284967.15
63.54036122590902,60.0,1,1,5,1991,0,1,0,0,1,0,0,0,0,0,0,0,150.305602044235,5.651232512844129,12.973275420949989,26.567196799758634,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5.330678264770507,6.103017669754321,3.5672460041504475,6.521226910093002,5.2392986914778845,7,34,424013.06
50.0,60.0,2,1,5,2003,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,15.335564817303831,0.0,13.950613639989747,53.26960830770816,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4.551386185096543,4.847135260514294,5.916407514455261,7.151633388927494,5.252601942477605,4,22,303994.59
158.26957015807622,171.21631907464058,3,2,2,2017,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,19.067775963084657,0.0,55.296393012443225,1.0674674849293453,0.0,0.0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,5.10100582105356,6.573920935454429,5.153703869207544,4.44502575693644,6.36004734609245,8,8,1023331.54
82.01453273083602,129.82319025446182,1,1,1,1997,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,6.075127154375614,0.0,0.0,0.0,0.0,0.0,0,48,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,5.434656398908368,5.385111925146354,8.740268739480555,3.540157263285183,5.400840935474826,2,28,642073.82
133.34980974636255,174.15939669053677,2,1,2,2019,0,1,0,0,0,0,0,0,0,0,1,0,263.43576852776295,7.37530477680774,5.4036508298646595,28.63501425766328,41.0393446131161,42.37898933585371,0.0,0.0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,5.36829726642768,6.393992368741344,5.736932980292293,4.241625325216124,7.916645609926569,5,6,1153862.75
155.08904259425515,128.89830762875778,3,1,1,2025,0,0,0,1,0,0,0,0,0,0,1,0,268.98340221926446,0.0,12.2223719334598,0.0,32.231732416585295,0.0,409.5946538633666,0.0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,8.575502681597357,5.8420911988938204,6.198348883264424,8.948446187630761,5.87408342918876,9,0,2201870.65
134.60606579095162,168.25914542233113,3,2,1,1996,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,8.027270665006865,0.0,0.0,0.0,0.0,0.0,2,24,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,5.677603062610853,5.885499802928304,7.051338585003844,7.039942354630232,6.456904763589835,7,29,884585.74
